Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Additional assignments (in order) and notes,Image links
D-123,1917,Ahrens-Fox,750 / 0,Engine Co. 35 (11/1917 - 11/30/1921),Engine Co. 123 (11/30/1921 - 10/25/1928),Engine Co. 70 (3/19/1929 - 10/18/1932),Engine Co. 98 (11/9/1934 - 12/31934),Engine Co. 25 (6/2/1948 - 1/15/1949),Engine Co. 81 (10/30/1949 - 3/24/1950),,,
D-124,1919,Seagrave,750 / 0,Engine Co. 78 (4/1919 - 11/28/1921),Engine Co. 124 (12/24/1921 - 7/8/1929),Engine Co. 114 (7/20/1930 - 10/25/1932),Engine Co. 36 (1/16/1935 - 12/11/1953),,,,,
D-125,1916,Sauer/CFD,Chemical,Truck Co. 2 (1916 - 8/1917),Truck Co. 23 (1919 - 11/1/1921),Engine Co. 125 (6/1922 - 3/4/1925),,,,,Modification work done at CFD shops prior to Engine 125 assignment; first motorized apparatus for Engine 125,
D-126,1920,Stutz,750 / 0,Engine Co. 26 (11/23/1920 - 6/30/1922),Engine Co. 126 (6/30/1922 - 2/5/1923),Engine Co. 117 (2/10/1923 - 1/2/1932),Engine Co. 125 (1/2/1932 - 4/22/1932),Engine Co. 88 (4/29/1932 - 3/18/1944),,,6-cylinder; first motorized apparatus for Engine 26,
D-127,1923,Mack AC,500 / 0,Engine Co. 101 (5/12/1923 - 7/29/1929),Engine Co. 127 (8/8/1929 - 1/5/1932),,Engine Co. 75 (12/30/1946 - 2/17/1949),,,,Last “Bulldog” Mack assigned to Engine Co. as regular rig; received pneumatic tires in lieu of hard rubber prior to Engine 75 assignment,
D-128,1923,Mack AC,500 / 0,Engine Co. 128 (6/1923 - 8/1/1927),Engine Co. 93 (8/1/1927 - 1/5/1932),Drill School Training (8/5/1937 - 3/27/1944),,,,,Engine 128 became Engine 93; first apparatus for Engine 93,
D-129,1916,Seagrave,750 / 0,Engine Co. 12 (10/1916 - 5/1921),Engine Co. 94 (9/17/1929 - 3/30/1950),,,,,,125 gallon water tank installed by CFD shops during 1930s,
D-130,1916,Seagrave,750 / 0,Engine Co. 5 (12/1916 - 5/3/1921),Engine Co. 32 (4/7/1919 - 1924),Engine Co. 108 (3/5/1930 - 4/1/1938),Engine Co. 48 (1/10/1950 - 6/2/1951),,,,*Conflict,
D-131,1916,Ahrens-Fox,750 / 0,Engine Co. 45 (3/1916 - 11/11/1921),,Engine Co. 65 (3/10/1949 - 8/1/1949),Engine Co. 113 (6/29/1950 - 11/25/1953),,,,First Ahrens-Fox purchased by CFD,
D-132,1917,Seagrave,750 / 0,Engine Co. 18 (9/1917 - 5/9/1921),Engine Co. 8 (5/6/1921 - 10/1922),Engine Co. 32 (1924 - 6/1/1925),Engine Co. 96 (11/10/1928 - 6/9/1932),Engine Co. 113 (7/14/1932 - 11/14/1949),,,First motorized apparatus for Engine 18,
D-133,1915,American LaFrance,750 / 0,Engine Co. 48 (11/1915 - 10/1/1916),Engine Co. 103 (10/1/1916 - 11/30/1921),Drill School Training (11/30/1921 - 12/6/1928),,,,,,
D-134,1916_/_1912,Christie/Nott,700 / 0,Engine Co. 124 (11/16/1916 - 1919),Engine Co. 128 (1920 - 6/1923),,,,,,First apparatus for Engine 124,
D-135,1916,Ahrens-Fox,750 / 0,Engine Co. 83 (11/1916 - 5/31/1921),Engine Co. 110 (3/31/1930 - 1/2/1932),Engine Co. 35 (12/29/1947 - 1/19/1949),,,,,,
D-136,1919,Mack AC,500 / 0,Engine Co. 64 (12/1919 - 9/8/1920),Engine Co. 122 (1/4/1921 - 2/19/1922),High Pressure 3 (8/22-1931 - 1956),High Pressure 5 (8/16/1957 - 1958),High Pressure 7 (6/1/1931 - 12/26/1931),,,First motorized apparatus for Engine 64; converted to High Pressure by CFD shops; equipped with 2 deck guns; High Pressure 7 reorganized 6/1/1931,High Pressure 5 (Steve Redick)
D-137,1919,Ahrens-Fox,750 / 0,Engine Co. 60 (5/1919 - 2/5/1923),Engine Co. 80 (2/5/1923 - 1/5/1953),,,,,,One of four 4-cylinder Ahrens-Foxes purchased in 1919--the only 4-cylinder models purchased by CFD from that company; delivered with pneumatic tires; first motorized apparatus for Engine 60,Engine 60 (CAPCO)
D-138,1923,Ahrens-Fox,750 / 0,Engine Co. 43 (2/1/1923 - 1/31/1951),,,,,,,,
D-139,1919,Ahrens-Fox,750 / 0,Engine Co. 25 (9/1919 - 2/10/1923),Engine Co. 129 (2/1/1929 - 8/29/1948),,,,,,"When this (current) iteration of Engine 129 went into service, 129 engines were on the CFD roster",
D-140,1919,Mack AC,500 / 0,Engine Co. 57 (12/1919 - 12/1921),,,,,,,,
D-141,1923,Ahrens-Fox,750 / 0,Engine Co. 46 (5/20/1923 - 2/7/1941),Engine Co. 62 (2/11/1941 - 2/10/1949),Engine Co. 75 (2/17/1949 - 2/2/1954),,,,,,
D-142,1923,Ahrens-Fox,750 / 0,Engine Co. 122 (3/26/1923 - 3/8/1949),,,,,,,,
D-143,1923,Mack AC,500 / 0,Engine Co. 121 (6/1923 - 8/6/1928),Engine Co. 118 (1/10/1929 - ?),Light Wagon 3,Engine Co. 88 (3/18/1944 - 1/15/1948),,,,Converted to Light Wagon 3 in 1929,
D-144,1923,Mack AC,500 / 0,Engine Co. 96 (7/1923 - 11/10/1928),Spare engine,,,,,,,
D-145,1923,Mack AC,500 / 0,Engine Co. 112 (8/8/1923 - 7/17/1928),Engine Co. 81 (7/18/1928 - 8/24/1931),,,,,,Became G-59 on 7/28/1931,Engine 112 (Terry Spirek)
D-146,1922,Ford Model T -Foamite/Childs,300_/_40,Engine Co. 92 (9/1/1927 - 10/11/1930),Chemical 1 (6 - 4 - 1) (11/15/1930 - 1932),,,,,,"First apparatus for Engine 92 as a land company; rig acquired by annexation of Village of Mount Greenwood, the first motorized one to be so; 40 gallon chemical tank & carried four five-gallon hand pumps; first apparatus for Chemical 1",
D-147,1927,Ford Model T/CFD,,Foamite Chemical Motor Apparatus (9/3/1927 - 12/1/1927),Foamite 2 (4 - 1 - 2) (12/1/1927 - 11/17/1933),Chemical 2,,,,,FCMA name change only to Foamite 2; Foamite 2 OOS 11/17/1933,
D-148,1927,Ford Model T/CFD,900g foam,Foamite Chemical Motor Apparatus (11/9/1927 - 12/1/1927),Foamite 1 (4 - 1 - 1) (12/1/1927 - 2/11/1928),Foamite 4 (later Foamite 3)  (4 - 1 - 4) (? - 11/17/1933),,,,,FCMA name change only to Foamite 2; designation changed from 4 to 3 on 3/1/1930; Foamite 3 OOS 11/17/1933,
D-149,1928,Ahrens-Fox,1000 / 0 ,Engine Co. 32 (7/1928 - 8/29/1931),Engine Co. 13 (8/29/1931 - 8/6/1938),Engine Co. 18 (8/23/1938 - 1/6/1953),Engine Co. 66 (3/30/1954 - 8/3/1954),,,,Engine 32 OOS 8/29/1931,
D-150,1928,Ahrens-Fox,1000 / 0 ,Engine Co. 42 (7/12/1928 - 5/28/1948),Engine Co. 22 (5/27/1948 - 6/22/1949),Engine Co. 128 (8/3/1949 - 8/5/1954),,,,,,Engine 128 (Bill Friedrich)
D-151,1928,Ahrens-Fox,1000 / 0 ,Engine Co. 40 (7/25/1928 - 4/1938),Engine Co. 17 (4/7/1938 - 6/3/1948),Engine Co. 69 (6/3/1948 - 1/10/1949),Engine Co. 31 (3/28/1949 - 9/23/1952),,,,,
D-152,1928,Ahrens-Fox,1000 / 0 ,Engine Co. 11 (8/4/1928 - 8/10/1954),,Sub-Engine 142 (2/1/1961 - 6/12/1961),,,,,Used to fight fires in abandoned buildings/areas awaiting demolition for new expressways,"Shows markings for Engine 11, but may be another unit by this point (Steve Redick) Ditto (Steve Redick)"
D-153,1928,Seagrave,1000 / 0,Engine Co. 5 (? - 3/31/1938),Engine Co. 12 (4/13/1938 - 1/19/1949),Engine Co. 4 (4/4/1950 - 7/5/1955),,,,,,
D-154,1928,Seagrave,1000 / 0,Engine Co. 13 (10/2/1928 - 8/29/1931),Engine Co. 34 (8/29/1931 - 5/26/1948),Engine Co. 19 (9/16/1948 - 1/9/1953),Drill School Training (7/26/1954 - 3/17/1955),,,,,
D-155,1928,Seagrave,1000 / 0,Engine Co. 1 (10/8/1928 - 8/29/1931),Engine Co. 8 (8/29/1931 - 1/25/1954),Drill School Training (1953 - 6/16/1959),Sub-Engine 142 (11/3/1958 - ?),,,,Engine 8 heavily damaged during 1934 Stockyards fire; Sub-Engine 142 used to fight fires in abandoned buildings/areas awaiting demolition for Dan Ryan Expressway; now owned by Fire Museum of Greater Chicago,Damaged Engine 8 (Terry Spirek) Engine 8 (Terry Spirek) Engine 8 during restoration (Terry Spirek)
D-156,1928,Seagrave,1000 / 0,Engine Co. 21 (10/8/1928 - 1/1/1949),Engine Co. 64 (2/25/1949 - 12/15/1952),Engine Co. 72 (7/28/1953 - 1/12/1954),,,,,,
D-157,1928,Seagrave,1000 / 0,Engine Co. 17 (10/17/1928 - 4/7/1938),Engine Co. 103 (4/9/1938 - 9/17/1948),Engine Co. 100 (10/14/1948 - 2/15/1949),Engine Co. 88 (2/19/1949 - 8/4/1954),,,,,
D-158,1928,Ahrens-Fox,1000 / 0 ,Engine Co. 10 (10/12/1928 - 8/29/1931),Engine Co. 1 (8/29/1931 - 4/1/1938),Engine Co. 6 (4/5/1938 - 2/23/1954),Engine Co. 4 (7/5/1955 - 3/6/1957),Spare engine (1957 - 1/1961?),,,Spare until 1961; last job was Hubbard Street Fire on January 28-29 1961; possibly used as Sub-Engine 142,Engine 10 (Terry Spirek) Restored Engine 10 (Terry Spirek)
D-159,1929,Ahrens-Fox,1000 / 0 ,Engine Co. 14 (7/17/1929 - 1/11/1947),Engine Co. 25 (1/30/1947 - 2/1/1948),,,,,,,
D-160,1929,Ahrens-Fox,1000 / 0 ,Engine Co. 104 (7/16/1929 - 2/12/1941),Engine Co. 63 (2/13/1941 - 1/11/1949),Engine Co. 3 (1/11/1949 - 5/16/1956),,,,,Last Ahrens-Fox delivered; Engine 3 OOS 5/16/1956,
D-161,1929,Seagrave (Quad),750_/_80,Engine Co. 97 (Combination) (9/7/1929 - 1/16/1960),Combination 10 (2/9/1960 - 9/2/1968),,,,,,"First of 8 Quads delivered over the years, called “Combination” in CFD - Engine 97 was a Combination during these years; carried 17 ground ladders totaling 382 feet and 8 men (4 for engine work, 4 for truck work)",Combination 10 (Steve Redick)
D-162,1930,Seagrave (Quad),750_/_80,Engine Co. 119 (Combination) (10/11/1930 - 3/1/1950),,Engine Co. 7 (Combination)(3/1/1952 - 5/16/1956),Combination 10 (5/16/1956 - 2/9/1960),,,,Engine 119 was a Combination during these years; dual rear wheels; carried 344 feet of ground ladders; hood markings later updated to “Chicago Fire Dep’t.”;,Combination 10 (Bill Friedrich)
D-163,1931,Ford AA,350_/_200,Booster 2 (7/27/1932 - 3/29/1935),,,,,,,Became G-56 on 5/14/1935,
D-164,1932,American LaFrance (Quad),1000_/_100,Engine Co. 121 (Combination) (4/22/1932 - 2/28/1941),Truck Co. 40 (3/1/1941 - 2/3/1942),Engine Co. 125 (4/23/1947 - 5/30/1949),,,,,First apparatus for Truck 40; remained in same fire house for switch from E121 to T40; combined manpower from Engine 121 and Truck 45 due to Great Depression cutbacks; ,
D-165,1932,American LaFrance (Quad),1000_/_100,Engine Co. 47 (Combination) (4/22/1932 - 10/1/1935),Engine Co. 72 (12/27/1935 - 4/1/1946),Engine Co. 81 (4/1/1946 - 10/30/1949),,,,,Combined manpower from Engine 47 and Truck 34 due to Great Depression cutbacks; E47 & T34 returned to separate companies in 1935,Engine 81 (Bill Friedrich)
D-166,1932,American LaFrance (Quad),1000_/_100,Engine Co. 62 (Combination) (4/22/1932 - 10/1/1935),Spare combination (10/1/1935 - 1938),Engine Co. 127 (Combination) (5/3/1938 - 3/16/1950),Engine Co. 81 (Combination) (4/18/1950? - 1/29/1954),Engine Co. 81 (Combination) (9/30/1954 - 3/29/1955),Combination 10 (10/28/1955 - 5/16/1956),,Combined manpower from Engine 62 and Truck 17(?) due to Great Depression cutbacks; E62 & T17? became separate companies in 1935,
D-167,1932,American LaFrance (Quad),1000_/_100,Engine Co. 127 (Combination) (4/22/1932 - 5/2/1938),,Engine Co. 7 (Combination) (4/23/1947 - 3/1/1952),,,,,Combined manpower from Engine 127 and Truck 40 due to Great Depression cutbacks,
D-168,1932,American LaFrance (Quad),1000_/_100,Engine Co. 125 (Combination) (4/22/1932 - 4/23/1947),,,,,,,Combined manpower from Engine 125 and Truck 43 due to Great Depression cutbacks,
D-169,1932,American LaFrance (Quad),1000_/_100,Engine Co. 46 (Combination) (4/22/1932 - 3/4/1933),Engine Co. 7 (Combination) (4/1/1933 - 4/23/1947),,,,,,Combined manpower from Engine 46 and Truck 17 due to Great Depression cutbacks; Engine 46 and Truck 17 returned to separate companies after 3/4/1933; Engine 7 was a reactivated company (one of eight cut in 1931),
D-170,1934,Ford BB/CFD,350_/_200,Booster 2 (3/29/1935 - 12/12/1941),Booster 1 (12/12/1941 - 3/20/1948),Booster 2 (5/20/1948 - 1/29/1953),Booster 1 (1/29/1953 - 9/20/1957),,,,Renumbered back & forth; still owned by CFD & kept in storage; at Meigs Field 6/9/1957 - 9/20/1957; one of only a few open cab apparatus with 2-way radio; equipped with liquid foam after move to Midway (end of 1941),
D-171,1938,Mack,1000 / 0,Engine Co. 98 (3/24/1938 - 8/6/1954),,,,,,,Sedan cab,Engine 98 (chicagofd.org)
D-172,1938,Mack,1000 / 0 ,Engine Co. 5 (3/31/1938 - 9/15/1948),Engine Co. 103 (9/17/1948 - 7/19/1954),,,,,,Sedan cab,
D-173,1938,Mack,1000 / 0 ,Engine Co. 45 (3/30/1938 - 7/16/1953),,,,,,,Sedan cab,
D-174,1938,Mack,1000 / 0 ,Engine Co. 1 (4/1/1938 - 5/4/1949),Engine Co. 22 (6/22/1949 - 8/11/1954),High Pressure 5 (6/30/1961 - 2/22/1963),,,,,Sedan cab; High Pressure 5 OOS 2/22/1963,
D-175,1938,Mack,1000 / 0 ,Engine Co. 40 (4/1938 - 5/28/1948),Engine Co. 45 (7/16/1953 - 12/15/1953),Engine Co. 105 (12/29/1953 - 8/12/1954),,,,,Sedan cab,
D-176,1938,Pirsch,1000 / 0 ,Engine Co. 13 (8/6/1938 - 1/9/1947),Engine Co. 9 (1/15/1948 - 8/28/1952),Engine Co. 9 (12/8/1952 - 8/13/1954),,,,,Sedan cab,
D-177,1940,Pirsch,1000 / 0 ,Engine Co. 46 (2/7/1941 - 8/16/1954),,,,,,,Sedan cab,Engine 46 (chicagofd.org)
D-178,1940,Pirsch,1000 / 0 ,Engine Co. 104 (2/12/1941 - 8/18/1954),,,,,,,Sedan cab,
D-179,1946,Pirsch,1000 / 0 ,Engine Co. 13 (1/9/1947 - 2/23/1954),Engine Co. 12 (9/23/1963 - 10/17/1963),,,,,,Sedan cab,
D-180,1946,Pirsch,1000 / 0 ,Engine Co. 14 (1/11/1947 - 8/20/1954),Engine Co. 81 (3/29/1955? - 5/23/1956),,,,,,Sedan cab,
D-181,1948,Mack,1000 / 0,Engine Co. 40 (5/28/1948 - 8/20/1954),Chemical 3 (10/28/1955 - ?),,,,,,Sedan cab; modified at CFD shops--gained 1000 gallons of water and 100 gallons of liquid foam,Chemical 3 (Steve Redick)
D-182,1948,Mack,1000 / 0,Engine Co. 42 (5/28/1948 - 8/1/1963),Engine Co. 5 (6/4/1964 - 6/20/1965),,,,,,Sedan cab,Engine 42 (Terry Spirek) Engine 42 (Steve Redick)
D-183,1948,Mack,1000 / 0,Engine Co. 34 (5/26/1948 - 8/12/1964),Engine Co. 99 (1/27/1965 - 3/19/1965),Engine Co. 118 (11/29/1966 - 3/4/1968),Engine Co. 24 (8/13/1968 - 1/29/1969),,,,Sedan cab,Engine 34 (Steve Redick)
D-184,1948,Mack,1000 / 0,Engine Co. 5 (9/15/1948 - 6/4/1964),,,,,,,Sedan cab,Engine 5 (Steve Redick)
D-185,1948,Mack,1000 / 0,Engine Co. 17 (6/3/1948 - 1/16/1965),,,,,,,Sedan cab,Engine 17 (Steve Redick)
D-186,1948,Mack,1000 / 0,Engine Co. 129 (9/18/1948 - 6/8/1959),Engine Co. 118 (6/8/1959 - 11/29/1966),,,,,,Sedan cab,Engine 129 (Bill Friedrich)
D-187,1948,Mack,1000 / 0,Engine Co. 21 (2/25/1949 - 2/13/1951),Engine Co. 87 (2/14/1951 - 4/11/1958),Engine Co. 15 (4/11/1958 - 2/26/1968),Engine Co. 79 (2/22/1968 - 10/5/1969),Engine Co. 38 (7/3/1969 - 4/17/1970),,,Reassigned to Engine 87 due to citizen complaints about old 1922 Seagrave previously assigned to Engine 87,
D-188,1948,Mack,1000_/_200 ,Engine Co. 33 (1/8/1949 - 4/5/1963),Engine Co. 69 (6/14/1963 - 9/15/1970),,,,,,Severely damaged at 5-11 fire 4/5/1963; rebuilt with 200 gal booster tank added for expressway auto fires,Engine 33 (Steve Redick) Engine 33 (Bill Friedrich)
D-189,1948,Mack,1000 / 0,Engine Co. 84 (1/10/1949 - 11/7/1967),,,,,,,,Engine 84 (Bill Friedrich)
D-190,1948,Mack,1000 / 0,Engine Co. 69 (1/10/1949 - 6/14/1963),Engine Co. 33 (6/14/1963 - 7/18/1967),,,,,,,
D-191,1948,Mack,1000 / 0,Engine Co. 95 (1/11/1949 - 4/24/1964),Engine Co. 88 (8/6/1964 - 12/18/1974),,,,,,"Overhead ladder rack added with 40-foot, 24-foot, and roofing ladders",Engine 88 (Bill Friedrich)
D-192,1948,Mack,1000 / 0,Engine Co. 63 (1/11/1949 - 2/2/1969),,,,,,,,
D-193,1948,Mack,1000 / 0,Engine Co. 28 (1/14/1949 - 5/10/1968),Engine Co. 109 (5/10/1968 - 7/10/1969),,,,,,,
D-194,1948,Mack,1000 / 0,Engine Co. 59 (1/14/1949 - 11/26/1967),,,,,,,,
D-195,1948,Mack,1000 / 0,Engine Co. 35 (1/19/1949 - 10/8/1968),,,,,,,,
D-196,1948,Mack,1000 / 0,Engine Co. 12 (1/19/1949 - 9/23/1963),Engine Co. 29 (12/21/1963 - 11/16/1967),Engine Co. 10 (9/24/1968 - 3/26/1973),,,,,200 gallon booster tank added for Dan Ryan Expressway duties at Engine 29,
D-197,1949,Mack,1000 / 0,Engine Co. 27 (2/9/1949 - 6/8/1956),Engine Co. 65 (1/10/1963 - 10/3/1963),Engine Co. 95 (4/24/1964 - 3/24/1966),Engine Co. 10A (10/31/1967 - 9/23/1968),Engine Co. 10 (9/23/1968 - 9/24/1968),Engine Co. 79 (11/13/1969 - 3/19/1970),Engine Co. 100 (3/19/1970 - 5/19/1970),Engine 10A was other half of O’Hare Combination 10,
D-198,1949,Mack,1000 / 0,Engine Co. 62 (2/10/1949 - 12/5/1957),Engine Co. 75 (12/5/1957 - 3/14/1970),,,,,,,
D-199,1949,Mack,1000 / 0,Engine Co. 51 (2/11/1949 - 4/7/1966),Engine Co. 109 (7/12/1967 - 4/1/1968),Engine Co. 26 (1/19/1970 - 4/28/1970),,,,,,Engine 51 (columind99)
D-200,1949,Mack,1000 / 0,Engine Co. 106 (2/11/1949 - 2/12/1971),,,,,,,,Engine 106 (chicagofd.org)
D-201,1949,Mack,1000 / 0,Engine Co. 100 (2/15/1949 - 12/11/1969),,,,,,,Booster tank and reel line added later by CFD shops,
D-202,1949,Mack,1000 / 0,Engine Co. 68 (2/16/1949 - 1/30/1970),,,,,,,,Engine 68 (Bill Friedrich) Engine 68 (Steve Redick)
D-203,1949,Mack,1000 / 0,Engine Co. 25 (2/18/1949 - 2/8/1963),Engine Co. 27 (2/18/1963 - 1/16/1965),Engine Co. 17 (1/16/1965 - 1/16/1968),Engine Co. 59 (2/7/1968 - 1/10/1969),,,,Red & green lights later moved to roof from front bumper & radiator shell painted red due to accident--one of a kind; Engine 27 OOS 1/16/1965; Engine 17 OOS 1/16/1968,Engine 25 (Steve Redick)
D-204,1949,Mack,1000 / 0,Engine Co. 16 (2/21/1949 - 1/4/1968),,Engine Co. 59 (2/12/1969 - 10/20/1969),,,,,,
D-205,1949,Mack,1000 / 0,Engine Co. 83 (2/24/1949 - 4/1/1969),,,,,,,,
D-206,1949,Mack,1000 / 0,Engine Co. 78 (2/25/1949 - 8/30/1956),Engine Co. 124 (4/7/1960 - ?),Engine Co. 99 (3/19/1965 - 12/8/1970),,,,,,
D-207,1949,Mack,1000 / 0,Engine Co. 55 (3/4/1949 - 4/25/1966),,,,,,,,
D-208,1949,Mack,1000 / 0,Engine Co. 50 (3/7/1949 - 1/3/1966),Engine Co. 18 (7/25/1966 - 11/9/1966),,,,,,,Engine 50 (Terry Spirek) Engine 50 (Steve Redick)
D-209,1949,Mack,1000 / 0,Engine Co. 26 (4/14/1949 - 1/19/1970),Flying Manpower Squad 6 (9/8/1970 - 1/10/1971),,,,,,,Engine 26 (chicagofd.org)
D-210,1949,Mack,1000 / 0,Engine Co. 122 (3/8/1949 - 5/21/1963),,,,,,,,
D-211,1949,Mack,1000 / 0,Engine Co. 109 (3/11/1949 - 6/19/1966),,,,,,,,
D-212,1949,Mack,1000 / 0,Engine Co. 67 (4/5/1949 - 10/27/1966),,,,,,,,Engine 67 (Steve Redick)
D-213,1949,Mack,1000 / 0,Engine Co. 20 (4/5/1949 - 6/26/1970),,,,,,,,
D-214,1949,Mack,1000 / 0,Engine Co. 102 (4/21/1949 - 5/23/1968),,,,,,,,
D-215,1949,Mack,1000 / 0,Engine Co. 105 (4/27/1949 - 9/7/1956),Engine Co. 124 (? - 5/6/1965),Engine Co. 95 (6/6/1966 - 3/4/1967),,,,,*Conflict,
D-216,1949,Mack,1000 / 0,Engine Co. 1 (5/4/1949 - 6/12/1956),Engine Co. 81 (5/21/1963 - 10/22/1971),Engine Co. 4 (3/6/1957 - 1/6/1968),Engine Co. 15 (3/28/1969 - 10/17/1970),,,,*Conflict,Engine 4 (Steve Redick)
D-217,1949,Mack,1000 / 0,Engine Co. 121 (5/9/1949 - 4/9/1973),,,,,,,,
D-218,1949,Mack,1000 / 0,Engine Co. 92 (6/7/1949 - 11/25/1970),Flying Manpower Squad 6 (1/11/1971 - 1/5/1972),,,,,,,
D-219,1950,Pirsch,1000 / 0,Engine Co. 24 (6/2/1950 - 8/13/1968),,,,,,,,Engine 24 (Steve Redick) Engine 24 (Bill Friedrich)
D-220,1950,Pirsch,1000 / 0,Engine Co. 44 (6/2/1950 - 1/31/1968),,,,,,,,Engine 44 (chicagofd.org)
D-221,1950,Pirsch,1000 / 0,Engine Co. 30 (5/25/1950 - 8/19/1964),,,,,,,,
D-222,1950,Pirsch,1000 / 0 ,Engine Co. 111 (7/24/1950 - 10/16/1967),,,,,,,Engine 111 OOS on 10/16/1967,
D-223,1950,Pirsch,1000 / 0 ,Engine Co. 77 (7/25/1950 - 10/3/1967),Engine Co. 15 (1/26/1968 - 3/28/1969),,,,,,,
D-224,1950,Pirsch,1000 / 0 ,Engine Co. 112 (7/26/1950 - 9/16/1969),Flying Manpower Squad 6 (9/16/1969 - 9/8/1970),,,,,,Never lettered “C.F.D” on hood when put in service; later lettered “Chicago Fire Dept.”,Engine 112 (chicagofd.org)
D-225,1950,Mack,1000 / 0 ,Engine Co. 21 (5/18/1951 - 9/13/1961),Engine Co. 1 (9/13/1961 - 1/23/1970),,,,,,,
D-226,1950,Mack,1000 / 0 ,Engine Co. 79 (5/14/1951 - 2/22/1968),,,,,,,,
D-227,1950,Mack,1000 / 0 ,Engine Co. 38 (5/18/1951 - 10/19/1968),,,,,,,,
D-228,1950,Mack,1000 / 0 ,Engine Co. 85 (5/18/1951 - 4/17/1974),Engine Co. 50 (4/25/1974 - 1/28/1975),,,,,,Windscreen installed in front of tailboard,Engine 85 (Steve Redick)
D-229,1950,Mack,1000 / 0 ,Engine Co. 65 (5/18/1951 - 8/27/1962),Engine Co. 65 (10/3/1963 - 12/12/1969),,,,,,"Involved in serious accident at 47th & Kedzie, 8/27/1962; 200-gallon booster tank added by shops during rebuild for use on Stevenson Expressway",Engine 65 (chicagofd.org) Engine 65 post-rebuild (D. Glaum)
D-230,1952,Pirsch,1000 / 0,Engine Co. 29 (11/28/1952 - 12/21/1963),Engine Co. 12,,,,,,,Engine 12 (chicagofd.org)
D-231,1952,Pirsch,1000 / 0,Engine Co. 125 (12/2/1952 - 11/29/1974),,,,,,,,Engine 125 (Bill Friedrich)
D-232,1952,Pirsch,1000 / 0,Engine Co. 64 (12/16/1952 - 10/16/1967),,,,,,,,Engine 64 (Steve Redick)
D-233,1952,Pirsch,1000 / 0,Engine Co. 54 (12/18/1952 - 12/1/1967),Engine Co. 30 (12/5/1967 - 4/17/1969),,,,,,,Engine 54 (Steve Redick)
D-234,1952,Pirsch,1000 / 0,Engine Co. 18 (1/6/1953 - 7/25/1966),Engine Co. 18 (11/9/1966 - 6/23/1967),,,,,,,Engine 18 (Steve Redick)
D-235,1952,Pirsch,1000 / 0,Engine Co. 19 (1/9/1953 - 11/16/1968),,,,,,,,
D-236,1953,Pirsch,1000 / 0,Engine Co. 48 (4/17/1953 - 9/16/1965),,,,,,,Engine 48 OOS 9/16/1965,Engine 48 (Steve Redick)
D-237,1953,Pirsch,1000 / 0,Engine Co. 43 (4/17/1953 - 4/16/1969),,,,,,,,Engine 43 (Steve Redick)
D-238,1953,Pirsch,1000 / 0,Engine Co. 117 (4/21/1953 - 1/4/1970),Engine Co. 26 (4/28/1970 - 3/8/1971),,,,,,1953 Pirsch models had bell cutout in grille,Engine 117 (Steve Redick)
D-239,1953,FWD,1000 / 0,Engine Co. 74 (11/19/1953 - 6/11/1973),,,,,,,,
D-240,1953,FWD,1000 / 0,Engine Co. 56 (11/24/1953 - 10/11/1973),,,,,,,,Engine 56 (Steve Redick) Engine 56 (Steve Redick)
D-241,1953,FWD,1000 / 0,Engine Co. 91 ( 11/24/1953 - 7/24/1968),Engine Co. 33 (7/24/1967 - 5/16/1968),,,,,,*Conflict,
D-242,1953,FWD,1000 / 0,Engine Co. 114 (12/4/1953 - 2/16/1969),Engine Co. 81 (10/22/1971 - 2/6/1976),,,,,,Engine 114 OOS on 2/16/1969,Former Engine 81 (firemann57)
D-243,1953,FWD,1000 / 0,Engine Co. 126 (12/1/1953 - 1/22/1971),Engine Co. 26 (3/16/1971 - 8/7/1975),Spare engine?,Engine Co. 15 (6/17/1976 - 3/2/1977),,,,Had the following retrofits: Skybolt beacon while at Engine 26 and Engine 15,Engine 26 (Ed McCarthy) Engine 26 (firemann57) Spare engine (fireman57) Engine 15 (firemann57) Engine 15 (firemann57)
D-244,1953,FWD,1000 / 0,Engine Co. 60 (12/3/1953 - 6/15/1956),Engine Co. 55 (6/8/1966 - 7/30/1973),Spare engine,,,,,Spare by 1970,Former Engine 55 (firemann57) Former Engine 55 (firemann57)
D-245,1953,FWD,1000 / 0,Engine Co. 71 (12/9/1953 - 11/28/1974),,,,,,,,
D-246,1953,FWD,1000 / 0,Engine Co. 94 (12/9/1953 - 11/7/1974),Engine Co. 92 (7/12/1973 - 12/20/1973),Engine Co. 15 (12/5/1974 - 6/17/1976),,,,,*Conflict,Former Engine 15 (firemann57) Former Engine 15 (firemann57)
D-247,1953,FWD,1000 / 0,Engine Co. 113 (12/10/1953 - 8/27/1956),Engine Co. 97 (2/8/1960 - 10/23/1975),Engine Co. 77,,,,,Shops added roof ladder rack which carried 38 foot and 32 foot extension ladders while at Engine 97; spent time at Engine 77 as a spare with temporary numbers,Engine 97 (Steve Redick)
D-248,1953,FWD,1000 / 0,Engine Co. 36 (12/11/1953 - 9/16/1967),Engine Co. 102 (5/29/1968 - 7/20/1970),,,,,,Engine 36 OOS 9/16/1967,
